name,newName
active,active
AGENCY,agency
agency,agency
COMMENTS,comments
Comments,comments
comments,comments
complexfir,complexFir
ComplexID,complexID
ComplexNam,complexNam
complexnam,complexNam
complexpar,complexPar
CreateDate,createDate
createdon,createDate
datecurren,dateCur
DATE_CUR,dateCur
DateCurren,dateCur
DeleteThis,deleteThis
EGP_OID,egpOid
FeatureAcc,featureAcc
FEATURE_CA,featureCat
FeatureCat,featureCat
FeatureSta,featureSta
FID,FID
firecode,firecode
FIRE_YEAR,fireYear
fireyear,fireYear
GACC,GACC
GDB_FROM_D,GDB_FROM_D
GDB_TO_DAT,GDB_TO_DAT
GDB_ARCHIV,gdbArchiv
GEO_ID,geoID
geometry,geometry
GeometryID,geometryID
GIS_ACRES,gisAcres
GISAcres,gisAcres
gisacres,gisAcres
GlobalID,globalID
GlobalID_2,globalid2
IMTName,IMTName
INCIDENT,incident
IncidentNa,incident
incidentna,incident
inciwebid,inciwebid
incomplex,incomplex
IRWINID,irwinID
irwinid,irwinID
IsVisible,isVisable
Label,label
latest,latest
LocalIncid,localincid
localincid,localincid
LOCAL_NUM,localNum
MAP_METHOD,mapMethod
MapMethod,mapMethod
mapmethod,mapMethod
mergeid,mergeid
modifiedon,modifiedon
OBJECTID,objectID
perimeterd,perimeterd
PolygonDat,polygonDat
pooownerun,pooownerun
POO_RESP_I,pooResp
poorespons,poorespons
SHAPE_Area,shapeArea
SHAPE_Leng,shapeLeng
SOURCE,source
state,state
uniquefire,uniqueFire
UNIT_ID,unitID
UnitID,unitID
UNQE_FIRE_,uniqueFire
USER_NAME,userName
